date,home_team,away_team,home_score,away_score,home_elo,away_elo,Elo_Diff,Match_Outcome
2000-01-09,Mexico,Iran,2,1,1824,1743,81,2.0
2000-01-09,Ivory Coast,Egypt,2,0,1572,1682,-110,2.0
2000-01-16,United States,Iran,1,1,1808,1743,65,1.0
2000-01-18,Ghana,Tunisia,2,0,1509,1637,-128,2.0
2000-01-21,New Zealand,South Korea,0,1,1540,1764,-224,0.0
2000-01-23,New Zealand,South Korea,0,0,1540,1764,-224,1.0
2000-01-24,Qatar,Bosnia and Herzegovina,2,0,1495,1548,-53,2.0
2000-01-24,Algeria,DR Congo,0,0,1507,1449,58,1.0
2000-01-27,South Africa,DR Congo,1,0,1666,1449,217,2.0
2000-01-28,Egypt,Senegal,1,0,1682,1454,228,2.0
2000-01-29,Morocco,Tunisia,0,0,1662,1637,25,1.0
2000-01-31,Ghana,Ivory Coast,0,2,1509,1572,-63,0.0
2000-02-02,Algeria,South Africa,1,1,1507,1666,-159,1.0
2000-02-04,Norway,Sweden,1,1,1804,1827,-23,1.0
2000-02-05,Mexico,Japan,1,0,1824,1795,29,2.0
2000-02-06,Ghana,South Africa,0,1,1509,1666,-157,0.0
2000-02-07,Tunisia,Egypt,1,0,1637,1682,-45,2.0
2000-02-08,Czechia,Mexico,2,1,1917,1824,93,2.0
2000-02-12,South Africa,Tunisia,2,2,1666,1637,29,1.0
2000-02-12,United States,Haiti,3,0,1808,1401,407,2.0
2000-02-15,Canada,South Korea,0,0,1632,1764,-132,1.0
2000-02-19,United States,Colombia,2,2,1808,1767,41,1.0
2000-02-20,Canada,Mexico,2,1,1632,1824,-192,2.0
2000-02-23,England,Argentina,0,0,1852,2005,-153,1.0
2000-02-23,Belgium,Portugal,1,1,1784,2018,-234,1.0
2000-02-23,Netherlands,Germany,2,1,1998,1882,116,2.0
2000-02-23,Turkey,Norway,0,2,1754,1804,-50,0.0
2000-02-23,Croatia,Spain,0,0,1888,1962,-74,1.0
2000-02-27,Canada,Colombia,2,0,1632,1767,-135,2.0
2000-03-11,Jordan,Bosnia and Herzegovina,0,0,1469,1548,-79,1.0
2000-03-12,United States,Tunisia,1,1,1808,1637,171,1.0
2000-03-15,Jordan,Bosnia and Herzegovina,1,2,1469,1548,-79,0.0
2000-03-28,Colombia,Brazil,0,0,1767,2023,-256,1.0
2000-03-29,Czechia,Australia,3,1,1917,1778,139,2.0
2000-03-29,Scotland,France,0,2,1745,2110,-365,0.0
2000-03-29,Austria,Sweden,1,1,1719,1827,-108,1.0
2000-03-29,Belgium,Netherlands,2,2,1784,1998,-214,1.0
2000-03-29,Switzerland,Norway,2,2,1712,1804,-92,1.0
2000-03-29,Croatia,Germany,1,1,1888,1882,6,1.0
2000-04-08,Qatar,Jordan,2,2,1495,1469,26,1.0
2000-04-09,Cape Verde,Algeria,0,0,1335,1507,-172,1.0
2000-04-21,Algeria,Cape Verde,2,0,1507,1335,172,2.0
2000-04-26,South Korea,Japan,1,0,1764,1795,-31,2.0
2000-04-26,Paraguay,Uruguay,1,0,1866,1756,110,2.0
2000-04-26,Brazil,Ecuador,3,2,2023,1691,332,2.0
2000-04-26,Netherlands,Scotland,0,0,1998,1745,253,1.0
2000-04-26,Austria,Croatia,1,2,1719,1888,-169,0.0
2000-04-26,Norway,Belgium,0,2,1804,1784,20,0.0
2000-04-26,Germany,Switzerland,1,1,1882,1712,170,1.0
2000-05-08,Cape Verde,Senegal,2,2,1335,1454,-119,1.0
2000-05-14,Cape Verde,Senegal,1,0,1335,1454,-119,2.0
2000-05-25,Jordan,Iraq,0,0,1469,1621,-152,1.0
2000-05-27,England,Brazil,1,1,1852,2023,-171,1.0
2000-05-28,Croatia,France,0,2,1888,2110,-222,0.0
2000-05-31,Jordan,Iran,0,1,1469,1743,-274,0.0
2000-06-02,Jordan,Iraq,1,4,1469,1621,-152,0.0
2000-06-03,United States,South Africa,4,0,1808,1666,142,2.0
2000-06-03,Paraguay,Ecuador,3,1,1866,1691,175,2.0
2000-06-03,Germany,Czechia,3,2,1882,1917,-35,2.0
2000-06-03,Sweden,Spain,1,1,1827,1962,-135,1.0
2000-06-04,France,Japan,2,2,2110,1795,315,1.0
2000-06-06,Morocco,France,1,5,1662,2110,-448,0.0
2000-06-07,Iran,Egypt,1,1,1743,1682,61,1.0
2000-06-07,Mexico,South Africa,4,2,1824,1666,158,2.0
2000-06-09,Australia,Paraguay,0,0,1778,1866,-88,1.0
2000-06-09,South Korea,Egypt,1,0,1764,1682,82,2.0
2000-06-10,Belgium,Sweden,2,1,1784,1827,-43,2.0
2000-06-11,Tunisia,Senegal,4,1,1637,1454,183,2.0
2000-06-11,United States,Mexico,3,0,1808,1824,-16,2.0
2000-06-11,Netherlands,Czechia,1,0,1998,1917,81,2.0
2000-06-12,Australia,Paraguay,0,0,1778,1866,-88,1.0
2000-06-12,Portugal,England,3,2,2018,1852,166,2.0
2000-06-13,Norway,Spain,1,0,1804,1962,-158,2.0
2000-06-15,Australia,Paraguay,2,1,1778,1866,-88,2.0
2000-06-15,Sweden,Turkey,0,0,1827,1754,73,1.0
2000-06-16,Algeria,Senegal,1,1,1507,1454,53,1.0
2000-06-16,France,Czechia,2,1,2110,1917,193,2.0
2000-06-17,Egypt,Ghana,2,0,1682,1509,173,2.0
2000-06-17,England,Germany,1,0,1852,1882,-30,2.0
2000-06-18,Ivory Coast,Tunisia,2,2,1572,1637,-65,1.0
2000-06-19,Belgium,Turkey,0,2,1784,1754,30,0.0
2000-06-20,Portugal,Germany,3,0,2018,1882,136,2.0
2000-06-21,Netherlands,France,3,2,1998,2110,-112,2.0
2000-06-24,Portugal,Turkey,2,0,2018,1754,264,2.0
2000-06-25,Ecuador,Panama,5,0,1691,1390,301,2.0
2000-06-25,France,Spain,2,1,2110,1962,148,2.0
2000-06-28,Australia,New Zealand,2,0,1778,1540,238,2.0
2000-06-28,Tunisia,Algeria,2,2,1637,1507,130,1.0
2000-06-28,Brazil,Uruguay,1,1,2023,1756,267,1.0
2000-06-28,France,Portugal,2,1,2110,2018,92,2.0
2000-06-29,Colombia,Argentina,1,3,1767,2005,-238,0.0
2000-07-09,Senegal,Egypt,0,0,1454,1682,-228,1.0
2000-07-09,Morocco,Algeria,2,1,1662,1507,155,2.0
2000-07-16,Panama,Mexico,0,1,1390,1824,-434,0.0
2000-07-18,Paraguay,Brazil,2,1,1866,2023,-157,2.0
2000-07-19,Argentina,Ecuador,2,0,2005,1691,314,2.0
2000-07-23,Panama,Canada,0,0,1390,1632,-242,1.0
2000-07-25,Ecuador,Colombia,0,0,1691,1767,-76,1.0
2000-07-26,Brazil,Argentina,3,1,2023,2005,18,2.0
2000-08-11,Panama,Ecuador,0,0,1390,1691,-301,1.0
