date,home_team,away_team,home_score,away_score,home_elo,away_elo,home_ema_gf,away_ema_gf,home_ema_ga,away_ema_ga,home_ema_offense_rating,away_ema_offense_rating,Elo_Diff,Rest_Diff,Form_Offense_Diff,Form_Defense_Diff,Elite_Offense_Diff,Match_Outcome
2000-01-23,New Zealand,South Korea,0,0,1540,1764,0.0,1.0,1.0,0.0,0.0,1.0266666666666666,-224,0.0,-1.0,1.0,-1.0266666666666666,1.0
2000-01-31,Ghana,Ivory Coast,0,2,1509,1572,2.0,2.0,0.0,0.0,2.1826666666666665,2.2426666666666666,-63,-9.0,0.0,0.0,-0.06000000000000005,0.0
2000-02-02,Algeria,South Africa,1,1,1507,1666,0.0,1.0,0.0,0.0,0.0,0.966,-159,3.0,-1.0,0.0,-0.966,1.0
2000-02-06,Ghana,South Africa,0,1,1509,1666,0.8999999999999999,1.0,1.1,0.55,0.9821999999999999,0.9872666666666665,-157,2.0,-0.10000000000000009,0.55,-0.005066666666666664,0.0
2000-02-07,Tunisia,Egypt,1,0,1637,1682,0.0,0.55,0.8999999999999999,0.8999999999999999,0.0,0.5331333333333333,-45,-1.0,-0.55,0.0,-0.5331333333333333,2.0
2000-02-12,South Africa,Tunisia,2,2,1666,1637,1.0,0.4019933554817276,0.3289036544850499,0.5382059800664452,0.994797342192691,0.4507685492801772,29,1.0,0.5980066445182723,-0.20930232558139528,0.5440287929125138,1.0
2000-02-20,Canada,Mexico,2,1,1632,1824,0.0,1.2691029900332225,0.0,1.0730897009966778,0.0,1.5327308970099667,-192,-7.0,-1.2691029900332225,-1.0730897009966778,-1.5327308970099667,2.0
2000-02-27,Canada,Colombia,2,0,1632,1767,1.1,2.0,0.55,2.0,1.3376000000000001,2.4106666666666667,-135,-1.0,-0.8999999999999999,-1.45,-1.0730666666666666,2.0
2000-03-12,United States,Tunisia,1,1,1808,1637,2.0598006644518274,0.9284653465346536,1.0730897009966778,1.0198019801980198,2.1813820598006646,1.0340907590759076,171,-7.0,1.131335317917174,0.053287720798657956,1.147291300724757,1.0
2000-03-15,Jordan,Bosnia and Herzegovina,1,2,1469,1548,0.0,0.0,0.0,0.8999999999999999,0.0,0.0,-79,0.0,0.0,-0.8999999999999999,0.0,0.0
